reasoning_type	num_tests	acc_wo_partial_credit	acc_w_partial_credit	stdev_acc_w_partial_credit
motion	12	0.3333333333333333	0.8107638888888888	0.20594942011219
orientation	7	0.0	0.23488166099773242	0.27896432903563323
distance	20	0.55	0.595625	0.4616423636052047
containment	28	0.21428571428571427	0.5470052709636043	0.43284879535938825
metaphor	27	0.2222222222222222	0.2861111111111111	0.419257377956779
