reasoning_type	num_tests	acc_wo_partial_credit	acc_w_partial_credit	stdev_acc_w_partial_credit
motion	12	0.3333333333333333	0.7337962962962964	0.2828718857933584
orientation	7	0.0	0.29876346371882084	0.19541914984428768
distance	20	0.45	0.6280208333333333	0.45080920443363104
containment	28	0.25	0.4429262866762867	0.4264663868421863
metaphor	27	0.18518518518518517	0.31589506172839504	0.409745035518421
