reasoning_type	num_tests	acc_wo_partial_credit	acc_w_partial_credit	stdev_acc_w_partial_credit
motion	12	0.16666666666666666	0.3298611111111111	0.4527623335811809
orientation	5	0.2	0.3316216216216216	0.42029555846400835
distance	20	0.35	0.39916666666666667	0.4888897569436738
containment	28	0.0	0.2385536916786917	0.31272385196335534
metaphor	27	0.8518518518518519	0.9205246913580247	0.2610739875252862
